"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","Accuracy","Kappa","AccuracySD","KappaSD"
"459",1,6,0.01,0.75,0,1,200,0.813810076040528,0.610828954250652,0.013568537454477,0.0283748542471013
"461",1,6,0.01,0.75,1,0.5,200,0.788454488245043,0.558544742418743,0.0100790145889659,0.0210505247045109
"463",1,6,0.01,0.75,1,1,200,0.809875785758107,0.60309005304406,0.0110712207861316,0.0232853945723572
"465",1,6,0.01,0.75,2,0.5,200,0.783252992307961,0.54802328659066,0.0119263208792932,0.0252042280481364
"467",1,6,0.01,0.75,2,1,200,0.809876382902072,0.602960005268556,0.0139806400658579,0.029231851592073
"469",1,6,0.01,1,0,0.5,200,0.798857515147708,0.58022561079965,0.0117262141044829,0.0238999036470531
"471",1,6,0.01,1,0,1,200,0.818122684748156,0.620234785981017,0.013090723919184,0.0269356727242351
"473",1,6,0.01,1,1,0.5,200,0.792902371687505,0.56781103345088,0.0142431545293711,0.0301799878095259
"475",1,6,0.01,1,1,1,200,0.817917450880327,0.619967458325731,0.0114285528890524,0.0235381995752617
"477",1,6,0.01,1,2,0.5,200,0.784450731032386,0.550277854640983,0.0150448714334141,0.0309564560796457
"479",1,6,0.01,1,2,1,200,0.811038880644926,0.605924794493518,0.0119194419436987,0.0242134088389931
"481",1,6,0.1,0.75,0,0.5,200,0.79139662330654,0.564039013745042,0.013973564930509,0.0288804116325375
"483",1,6,0.1,0.75,0,1,200,0.808438483718971,0.599574135829052,0.0114476498482024,0.0237255589194201
"485",1,6,0.1,0.75,1,0.5,200,0.783117398492696,0.547465310313941,0.0122669640253071,0.0249931977808259
"487",1,6,0.1,0.75,1,1,200,0.807309225210485,0.597370137362437,0.0130086842237524,0.0273496319128063
"489",1,6,0.1,0.75,2,0.5,200,0.782772989172351,0.547719983129203,0.013789762619991,0.0282257525735895
"491",1,6,0.1,0.75,2,1,200,0.807924679377828,0.599027991724458,0.0130610057995224,0.0269776805259277
"493",1,6,0.1,1,0,0.5,200,0.793791717462053,0.569151743472988,0.011994501458632,0.0250735526448913
"495",1,6,0.1,1,0,1,200,0.81305748593805,0.609535915126516,0.012604691997095,0.0264291731264159
"497",1,6,0.1,1,1,0.5,200,0.792320438281232,0.567075388730549,0.0127817105003403,0.0262116655931136
"499",1,6,0.1,1,1,1,200,0.813708356013026,0.611487424705009,0.013194194309277,0.0271804675349051
"501",1,6,0.1,1,2,0.5,200,0.783696135863834,0.549480236523457,0.0122670183385273,0.0253237866921562
"503",1,6,0.1,1,2,1,200,0.811759146727341,0.606876904982909,0.0151981433260106,0.031733047149541
"73",0.05,18,0,0.75,0,0.5,200,0.82900504671967,0.641989323912649,0.011169693751647,0.0231354418767856
"75",0.05,18,0,0.75,0,1,200,0.827738650472316,0.639276395181964,0.0127444491287427,0.0264454387546177
"77",0.05,18,0,0.75,1,0.5,200,0.828251820909407,0.640402443398359,0.0128880689886311,0.0267083186810316
"79",0.05,18,0,0.75,1,1,200,0.828148730152778,0.64021406587547,0.0129416042749718,0.0271204152794768
